"Comparison","P_Value","P_Value_Formatted","Significance"
"Medium (100-1000) Positive vs Negative",0.47368853414607,"0.47369","ns"
"Large (1000-10000) Positive vs Negative",1.44686476792281e-12,"< 0.001","***"
"Very Large (≥10000) Positive vs Negative",2.95087633079773e-07,"< 0.001","***"
"Small (<100) Positive vs Negative",0.359149034678232,"0.35915","ns"
"Positive: Large (1000-10000) vs Medium (100-1000)",0.000466755700613995,"< 0.001","***"
"Positive: Large (1000-10000) vs Very Large (≥10000)",2.38901092425864e-13,"< 0.001","***"
"Positive: Large (1000-10000) vs Small (<100)",0.159056060702994,"0.15906","ns"
"Positive: Medium (100-1000) vs Very Large (≥10000)",4.62257410901163e-19,"< 0.001","***"
"Positive: Medium (100-1000) vs Small (<100)",0.0702966961325657,"0.07030","ns"
"Positive: Very Large (≥10000) vs Small (<100)",0.470959476651205,"0.47096","ns"
"Negative: Medium (100-1000) vs Large (1000-10000)",0.00618951847663791,"0.00619","**"
"Negative: Medium (100-1000) vs Very Large (≥10000)",0.0250691310700288,"0.02507","*"
"Negative: Medium (100-1000) vs Small (<100)",0.654050154278045,"0.65405","ns"
"Negative: Large (1000-10000) vs Very Large (≥10000)",0.35717812042687,"0.35718","ns"
"Negative: Large (1000-10000) vs Small (<100)",0.41701668217387,"0.41702","ns"
"Negative: Very Large (≥10000) vs Small (<100)",0.304353578428516,"0.30435","ns"
